time,type,code,name,strategy,action,reason,price,quantity,urgency
2026-06-30T10:03:15.761011,BUY,002558,巨人网络,deep_value,首批建仓：买入 3800股 @ 27.23,距52周高点跌49%；ROE 6.8%；负债率19.9%；CFO/EPS 1.23；利润同比+210.6%,27.23,3800,normal
2026-06-30T10:03:16.862150,BUY,002532,天山铝业,deep_value,首批建仓：买入 9300股 @ 11.16,距52周高点跌49%；ROE 7.3%；[注意]负债率39.9%偏高；CFO/EPS 1.06；利润同比+109.7%,11.16,9300,normal
2026-06-30T10:03:17.987295,BUY,300033,同花顺,deep_value,首批建仓：买入 400股 @ 239.48,距52周高点跌45%；价格处近1年最低15%区间；ROE 2.7%（偏低）；[注意]负债率60.8%偏高；CFO/EPS 4.59；利润同比+112.6%,239.48,400,normal
2026-06-30T10:03:19.161450,BUY,002625,光启技术,deep_value,首批建仓：买入 3500股 @ 29.01,距52周高点跌50%；价格处近1年最低0%区间；ROE 1.8%（偏低）；负债率18.6%；利润同比+17.0%,29.01,3500,normal
2026-06-30T10:03:20.622130,BUY,001391,国货航,deep_value,首批建仓：买入 25200股 @ 4.12,距52周高点跌41%；价格处近1年最低0%区间；ROE 1.7%（偏低）；负债率11.1%；CFO/EPS 1.75,4.12,25200,normal
2026-06-30T10:03:21.707230,BUY,300450,先导智能,deep_value,首批建仓：买入 2500股 @ 40.02,距52周高点跌43%；ROE 3.0%（偏低）；[注意]负债率61.6%偏高；CFO/EPS 2.88；利润同比+11.0%,40.02,2500,normal
2026-06-30T10:03:23.272762,BUY,002230,科大讯飞,deep_value,首批建仓：买入 2600股 @ 39.46,距52周高点跌42%；价格处近1年最低1%区间；[注意]负债率56.4%偏高；利润同比+12.2%,39.46,2600,normal
2026-06-30T10:03:24.843570,BUY,300418,昆仑万维,deep_value,首批建仓：买入 2600股 @ 39.78,距52周高点跌45%；负债率26.8%；经营现金流每股0.07,39.78,2600,normal
2026-06-30T10:03:26.504351,BUY,300122,智飞生物,deep_value,首批建仓：买入 8600股 @ 12.02,距52周高点跌54%；价格处近1年最低2%区间；[注意]负债率46.0%偏高；经营现金流每股0.12,12.02,8600,normal
2026-06-30T10:03:28.005928,BUY,002241,歌尔股份,deep_value,首批建仓：买入 4800股 @ 21.43,距52周高点跌47%；价格处近1年最低0%区间；ROE 1.4%（偏低）；[注意]负债率58.7%偏高；[警告]经营现金流为负；利润同比+7.3%,21.43,4800,normal
2026-06-30T10:03:29.305762,BUY,000617,中油资本,deep_value,首批建仓：买入 15500股 @ 6.68,距52周高点跌51%；价格处近1年最低1%区间；ROE 1.5%（偏低）；[注意]负债率82.6%偏高；[警告]经营现金流为负；利润同比+22.9%,6.68,15500,normal
